Codo_Izq_mean,Codo_Izq_var,Codo_Izq_min,Codo_Izq_max,Codo_Der_mean,Codo_Der_var,Codo_Der_min,Codo_Der_max,Muñeca_Izq_mean,Muñeca_Izq_var,Muñeca_Izq_min,Muñeca_Izq_max,Muñeca_Der_mean,Muñeca_Der_var,Muñeca_Der_min,Muñeca_Der_max,Rodilla_Izq_mean,Rodilla_Izq_var,Rodilla_Izq_min,Rodilla_Izq_max,Rodilla_Der_mean,Rodilla_Der_var,Rodilla_Der_min,Rodilla_Der_max,Talon_Izq_mean,Talon_Izq_var,Talon_Izq_min,Talon_Izq_max,Talon_Der_mean,Talon_Der_var,Talon_Der_min,Talon_Der_max,Vel_Codo_Izq_mean,Vel_Codo_Izq_var,Vel_Codo_Izq_min,Vel_Codo_Izq_max,Vel_Codo_Der_mean,Vel_Codo_Der_var,Vel_Codo_Der_min,Vel_Codo_Der_max,Vel_Muñeca_Izq_mean,Vel_Muñeca_Izq_var,Vel_Muñeca_Izq_min,Vel_Muñeca_Izq_max,Vel_Muñeca_Der_mean,Vel_Muñeca_Der_var,Vel_Muñeca_Der_min,Vel_Muñeca_Der_max,Vel_Rodilla_Izq_mean,Vel_Rodilla_Izq_var,Vel_Rodilla_Izq_min,Vel_Rodilla_Izq_max,Vel_Rodilla_Der_mean,Vel_Rodilla_Der_var,Vel_Rodilla_Der_min,Vel_Rodilla_Der_max,Vel_Talon_Izq_mean,Vel_Talon_Izq_var,Vel_Talon_Izq_min,Vel_Talon_Izq_max,Vel_Talon_Der_mean,Vel_Talon_Der_var,Vel_Talon_Der_min,Vel_Talon_Der_max,persona,actividad,repeticion
0.765103243,3.84e-07,0.764373548,0.765861768,0.526819488,3.37e-07,0.526253097,0.527884094,0.342881737,8.92e-06,0.340448242,0.348192182,0.275416779,5.74e-06,0.272589987,0.278445868,0.273019727,7.82e-06,0.269138127,0.276427431,0.517378857,1.51e-06,0.515382548,0.518489314,0.374415982,0.000293748,0.348876841,0.394206444,0.412008945,0.003941091,0.339310489,0.482727063,-0.000191895,1.21e-07,-0.000649702,0.000336847,0.000167322,2.98e-07,-0.000400379,0.001079322,-0.001127157,2.99e-06,-0.003631362,0.000980995,-0.000450651,4.18e-06,-0.002674319,0.003151972,0.000421635,1.17e-05,-0.003163499,0.006823995,0.000500692,2.44e-07,-0.000102617,0.001128858,-0.002409871,0.000259387,-0.020111153,0.018678169,0.000306934,0.003955103,-0.076958773,0.073396417,Alan,saludar,2
0.757185944,6.2e-07,0.755968701,0.758016287,0.523043754,2.66e-07,0.522087074,0.523814534,0.343148624,4.02e-06,0.341114857,0.346290655,0.277018598,1.25e-05,0.269457499,0.279448619,0.275387387,3.54e-05,0.262509248,0.279704412,0.51153092,6.58e-06,0.507429753,0.513947702,0.382055122,0.000495152,0.35358087,0.409565592,0.43487141,0.006267204,0.339775098,0.534943753,0.000237315,1.22e-07,-0.000386384,0.000552757,0.00024678,1.4e-07,-0.000158598,0.000893758,-0.000591119,8.9e-07,-0.00145673,0.001037966,0.001182306,7.73e-06,-0.000722622,0.006618091,0.002059507,2.32e-05,-0.001123516,0.011664746,0.000912537,6.26e-07,-0.000130189,0.001735811,0.000461538,0.000384154,-0.022011239,0.028273332,-0.001133166,0.004751814,-0.08478612,0.091037193,Alan,saludar,3
0.761782401,1.35e-06,0.760498483,0.763601504,0.535920739,1.74e-06,0.533774291,0.537401323,0.356524226,2.8e-05,0.34816212,0.361534002,0.280450165,6.4e-06,0.277284895,0.283190366,0.274339683,2.82e-06,0.27174974,0.276078759,0.520649893,3.77e-06,0.517346721,0.522477772,0.353857089,9.59e-05,0.339534106,0.365136491,0.353381752,0.001892928,0.287653654,0.403952576,-0.000267549,5.24e-07,-0.001138579,0.00087283,0.000518147,1.11e-07,0.0,0.001038149,0.001817692,3.14e-06,-0.000648035,0.003662578,0.00080824,6.93e-07,-0.000247789,0.00193081,0.000428965,8.83e-07,-0.001140369,0.001558802,0.000596373,8.65e-07,-0.000795216,0.001574286,-0.000645033,7.15e-05,-0.010875237,0.00983545,-0.004438188,0.001301937,-0.048035231,0.042383528,Alan,martillar,1
0.763403625,1.72e-06,0.762196103,0.76584699,0.532227845,2.81e-06,0.530416834,0.534657509,0.349746951,2.59e-06,0.34724168,0.351607802,0.277967579,6.12e-07,0.276992404,0.279227054,0.275176673,8.09e-07,0.274132858,0.276377993,0.519999253,2.19e-06,0.517895693,0.521678271,0.355203692,4.32e-05,0.346851581,0.36288111,0.338500143,0.001097288,0.291724548,0.378706828,0.000337127,7.89e-07,-0.000758725,0.001499665,0.000605811,1.81e-07,0.0,0.001123942,0.000575047,2.94e-07,-0.000340791,0.001140161,0.000319236,3.28e-07,-0.000366956,0.00110962,-0.000137917,7.59e-07,-0.001678606,0.001249121,0.000540368,1.08e-07,0.0,0.000877725,-0.000224316,3.25e-05,-0.006900645,0.008379292,-0.003258376,0.000738341,-0.032001213,0.038064196,Alan,martillar,2
0.756563157,1.58e-06,0.755191679,0.758659926,0.525939133,2.61e-06,0.523814534,0.528275113,0.347855938,1.33e-05,0.342152823,0.351370769,0.27995614,4.05e-06,0.27773364,0.282331689,0.279680021,5.82e-06,0.276925795,0.282537361,0.514382837,9.19e-07,0.513434074,0.515948862,0.353113385,4.7e-06,0.350295232,0.356811637,0.362858384,0.000741774,0.334907626,0.399809767,0.000147146,1.31e-06,-0.000965216,0.002156183,0.000637226,8.48e-08,0.0,0.000837866,0.001266604,1.33e-06,-0.000351715,0.002435602,0.000616987,5.37e-07,-0.000279143,0.001640925,0.000731148,8.33e-07,-0.000493529,0.002039406,0.000304478,1.74e-07,-0.000383439,0.000721901,-0.000604778,8.74e-06,-0.005655816,0.002282958,-0.000695353,0.00063875,-0.036250397,0.030791784,Alan,martillar,3
0.765998983,1.43e-06,0.764889295,0.768457056,0.536067941,4.94e-07,0.535188115,0.537248123,0.354001974,3.96e-06,0.352261562,0.357772911,0.279228302,9.9e-07,0.278532632,0.281272359,0.27427163,5.63e-07,0.273094481,0.275101283,0.526075585,7.64e-06,0.521614488,0.52960605,0.443972629,0.004425657,0.34870497,0.528911797,0.479549416,0.017754426,0.294289137,0.651798834,0.000396418,2.29e-07,-0.000185413,0.001071344,-6.58e-05,2.24e-07,-0.000723552,0.000469434,-0.000539543,6.21e-07,-0.001564688,0.000353671,-0.000304414,1.63e-07,-0.001008655,7.43e-05,-0.000165459,1.66e-07,-0.000818097,0.000299962,0.000210843,3.5e-06,-0.001944201,0.002743913,-0.003893554,0.001921586,-0.059194193,0.056323488,-0.008245315,0.007598257,-0.120061521,0.112853507,Alan,dibujar,1
0.765538959,1.47e-06,0.764186544,0.7673823,0.531727001,8.53e-07,0.530721333,0.533164494,0.344539748,9.64e-07,0.343455987,0.345875382,0.274844491,3.42e-06,0.272818551,0.277635215,0.273035512,1.1e-06,0.271483167,0.274280867,0.525031018,2.33e-06,0.522747505,0.526762562,0.464116321,0.002816785,0.380034988,0.52404284,0.514866499,0.012217613,0.347346638,0.641464868,-0.000134089,9.87e-07,-0.001283,0.001320376,-8.91e-05,6.15e-07,-0.000998201,0.001088701,-2.07e-05,8.25e-07,-0.001006967,0.001621508,-0.0005592,6.76e-07,-0.001652214,0.000902262,-0.000259533,4.38e-07,-0.001057632,0.000505935,-9.79e-05,1.83e-06,-0.002125366,0.001409601,-0.006283669,0.001917849,-0.05723726,0.051476596,-0.011033449,0.008466511,-0.121288541,0.112038254,Alan,dibujar,2
0.767254549,8.11e-06,0.761529194,0.769695785,0.532656645,3.97e-06,0.529308815,0.53543761,0.348595291,2.23e-06,0.346607196,0.35082699,0.276786906,5.35e-06,0.274098737,0.280663089,0.275520185,7.96e-06,0.272583354,0.280296927,0.525175468,2.12e-05,0.517391443,0.529816479,0.451846933,0.003096687,0.368465789,0.52120174,0.501677854,0.012120732,0.347701669,0.638785625,0.000824453,2.14e-06,-0.001570967,0.003054864,0.000766099,2.22e-07,0.0,0.001308689,8.02e-05,2.09e-06,-0.0009283,0.003359235,-0.000386053,2.22e-06,-0.001668208,0.002378311,-0.000634332,2.19e-06,-0.002129714,0.001943803,0.001167371,4.33e-06,-0.002665174,0.003261934,0.004265572,0.001679369,-0.056874701,0.049591591,0.004269714,0.006995539,-0.109342525,0.103118347,Alan,dibujar,3
0.747991948,0.000133498,0.732416856,0.768169353,0.535836204,1.47e-05,0.526077959,0.538868012,0.375596387,0.0001628,0.351126251,0.391507338,0.269106884,0.000460419,0.216219836,0.285512429,0.242675003,0.001394167,0.160856839,0.272674185,0.514742505,9.59e-06,0.508932412,0.519362376,0.37494742,0.000333934,0.341927656,0.403277774,0.389170809,0.004618049,0.284550869,0.49493142,0.00291064,4.27e-06,-0.000824821,0.005338234,0.000759181,3.95e-06,-0.001190599,0.004666439,-0.001797549,3.4e-05,-0.008252916,0.011789037,0.004621492,0.000102739,-0.004213817,0.025450464,0.00856096,0.000164207,-0.005707707,0.032671759,0.000234055,7.45e-06,-0.006018714,0.004206596,-0.002469255,9.3e-05,-0.012773231,0.015024764,-0.003610851,0.001281619,-0.053888463,0.045903977,Alan,telefono,1
0.752396499,7.08e-05,0.740081235,0.7644133,0.529973839,2.44e-05,0.522805569,0.536222961,0.358888011,9.6e-05,0.348972522,0.377243054,0.279472617,2.22e-05,0.271594281,0.285107018,0.272069343,6.11e-05,0.260238492,0.284965025,0.517754521,4.99e-05,0.506808545,0.527514504,0.413593557,0.004242375,0.335909028,0.522044336,0.435360286,0.012731469,0.281650847,0.613995135,0.000572716,1.41e-05,-0.009047203,0.003461305,-0.000282082,4.67e-06,-0.004008471,0.002762965,-0.000567442,3e-05,-0.010474738,0.009266671,-0.000489512,1.34e-05,-0.005833592,0.005273399,-0.000433301,2.28e-05,-0.006327456,0.009041951,0.000243992,1.12e-05,-0.004214418,0.005878183,0.001335226,0.000964667,-0.049038197,0.049902019,0.004040685,0.002723946,-0.087398944,0.078744915,Alan,telefono,2
